PLAN_DATE,SIGNAL_DATE,SYMBOL,SECTOR,SCORE,ENTRY,SL,TARGET,QTY,RISK_RS,GAIN_RS,ATR_PCT,VOL_X,DELIV_PCT,CLOSE,REGIME,REASON,RUN_TS
2026-09-15,2026-09-11,PAYTM,NEWAGE,11,1841.84,1799.97,1925.57,9,376.8,753.59,3.31,2.36,0.0,1807.5,WEAK,20D BREAKOUT | VOL 2.4x | GREEN | STRONG CLOSE | UPTREND+ | RS>NIFTY | ATR SWEET,2026-09-15 04:47:48 IST
2026-09-15,2026-09-11,BLUESTARCO,CONSDUR,10,1566.67,1534.48,1631.05,12,386.31,772.61,2.95,2.91,0.0,1558.0,WEAK,20D BREAKOUT | VOL 2.9x | GREEN | STRONG CLOSE | UPTREND | RS>NIFTY | ATR SWEET,2026-09-15 04:47:48 IST
2026-09-15,2026-09-11,INDUSTOWER,TELECOM,9,391.24,384.54,404.64,59,395.38,790.76,2.47,4.16,0.0,388.0,WEAK,HIGH KE PAAS | VOL 4.2x | GREEN | STRONG CLOSE | UPTREND | RS>NIFTY | ATR SWEET,2026-09-15 04:47:48 IST
2026-09-16,2026-09-15,FSL,SERVICES,10,292.29,284.48,307.91,51,398.21,796.42,3.94,40.73,10.3,283.35,WEAK,20D BREAKOUT | VOL 40.7x | GREEN | STRONG CLOSE | UPTREND | RS>NIFTY | ATR SWEET,2026-09-16 04:08:02 IST
2026-09-16,2026-09-15,ACMESOLAR,POWER,9,426.58,415.13,449.47,34,389.16,778.33,3.89,2.33,42.8,420.4,WEAK,VOL 2.3x | GREEN | STRONG CLOSE | UPTREND+ | RS>NIFTY | ATR SWEET | DELIV 43%,2026-09-16 04:08:02 IST
